,precision,recall,f1-score,support
0,0,0,0,347
1,0,0,0,475
2,0.655778894472362,1,0.792109256449165,1566
accuracy,0.655778894472362,0.655778894472362,0.655778894472362,0.655778894472362
macro avg,0.218592964824121,0.333333333333333,0.264036418816388,2388
weighted avg,0.430045958435393,0.655778894472362,0.519448532495558,2388
